f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,covid
-340.75784,104.39623,-32.46605,-13.380939,-3.259679,0.7365426,-22.029663,-17.571657,-9.471723,-5.3133316,-5.568194,-8.0754795,0.7793422,-5.551783,-6.4643917,-0.95388365,-1.9271631,-2.4159098,-3.7761056,-3.483209,-3.4714894,-0.45396382,-1.797112,-1.9202797,-1.5765965,-0.93680286,-2.626335,-2.463738,0.07819684,-1.5332729,-1.1949066,-0.16059756,-1.3199077,-0.12231443,0.6016817,-0.8828853,0.34445128,1.5485342,0.44056877,0.41627872,1
-405.5315,57.939137,-32.747086,12.119844,-8.218422,-10.192364,-24.715076,-1.9672797,-12.176133,2.5096498,1.9771821,-16.351318,1.4466639,-1.9867337,-0.22462088,-8.453516,-6.953686,-1.4733157,-1.6629525,-5.9351535,-3.2966242,0.5384151,-5.33319,3.4516523,0.5209604,-2.4370642,2.287687,4.3356347,-3.1704888,0.5375094,5.0949397,-1.2392509,0.8593935,-1.865187,0.37643996,-1.836516,-2.740043,0.7786492,-0.63144916,-0.7209729,1
-428.6827,68.35837,4.36699,3.3866413,-32.356323,0.024295308,-9.018907,-10.623088,-7.367483,-12.1889305,-2.2967675,-3.6167502,-3.7955236,-7.685504,-7.6065283,-4.928561,-5.538938,-8.245977,-2.3863695,-2.354609,-3.2098544,-0.5592342,-1.8231943,1.746607,-0.33056217,-1.3676149,-4.130045,-3.4544687,-0.9817898,-3.3567822,-1.2357135,-3.0793104,-2.2994924,0.84262526,-0.9563144,0.1763338,-1.1075773,-3.7753246,-0.7622791,-1.1121488,1
-529.29504,31.904106,-9.242386,12.823877,-2.0768507,5.76489,-5.036594,4.5652804,-9.049924,-0.7422619,-0.15348777,-8.462563,-2.3210661,-6.81045,-3.3837776,-9.067073,-4.882601,-6.016847,-2.9297206,-2.9508681,-6.555759,-1.8355832,-2.5819497,-1.364873,-2.2017593,-0.17186247,-1.1517419,-0.29313305,1.2639968,-0.36523125,-0.38826963,-0.06034536,0.8205578,0.98204815,0.50641984,1.1603242,1.6514641,-0.5045442,-0.44308883,0.33490926,1
-395.6468,52.107006,-24.991749,16.804037,-19.5319,-2.9767709,-19.424322,-7.082441,-9.516981,3.8842468,-13.811128,-9.884233,2.193556,-7.43359,-2.461944,-6.147928,-2.9453053,-7.0370965,1.1981356,-10.114623,-8.882938,0.9725358,-2.8328671,-2.5164168,-1.1776723,-2.6331248,-2.4411888,-0.03412319,-4.147484,-0.035922024,0.616673,-0.0028901792,-0.4679007,1.3229666,0.2221719,-2.089539,-0.40974468,-0.66281873,-1.6363933,0.35211232,1
-582.9566,17.365604,-4.555893,-0.3417535,-4.7459993,0.6805751,-2.7309976,-0.63149583,-2.6824856,0.32482404,-3.066385,0.41518947,-0.93699336,1.2419386,-0.4958396,-0.06467898,-1.4471295,-0.85777855,-1.5459708,-1.830716,-0.023536988,-1.2604891,-1.3060559,-0.54907393,-0.5544753,-0.59324604,-1.1148111,-0.56842947,-0.92490983,-0.58456665,-0.72551906,-1.4412262,-0.8702738,-0.6651836,-1.1296029,-0.28841403,-1.043228,-0.5435547,-0.6785442,-0.5180331,1
-324.94775,86.320366,-27.193817,-11.660505,-37.198063,6.8232074,-21.910578,-16.434015,-11.980458,-0.37805,-3.4150589,-9.124888,-4.7891817,-9.137728,1.3255458,-5.820888,-1.4644101,-3.2056484,-2.3917496,-1.6851386,4.033604,-2.231577,-6.4776783,1.8749955,-2.6195803,-3.641782,-5.6926723,-1.4323814,-3.4232488,0.76289684,-0.72947586,-3.396242,1.1336116,-2.3098235,-0.82086986,-1.2894616,-1.5016987,-1.6195474,-0.9243029,-0.7916574,1
-431.1393,66.43581,-7.6858993,21.239115,-40.57002,15.548559,-9.484679,-11.793276,-4.24192,-23.734179,-2.8883426,-3.9147146,-8.6622715,-3.6415439,-3.7784948,-10.420965,-1.6747442,-5.773071,-6.9113193,-7.134864,-12.589511,-4.461566,-5.849158,-4.07105,-1.4458245,-2.7553062,-1.495666,-1.5989056,-3.0417066,-0.24863218,-0.4450891,-1.8040688,-0.5795783,-1.6178304,-2.1242015,-3.4345155,-0.33932346,-0.15828124,-0.11700843,0.2721864,1
-456.20264,44.997253,-21.268593,8.289478,-24.10411,5.0849624,-14.677333,6.7926974,-8.239429,-7.3799806,1.0875671,-1.6149207,2.2393029,-8.985852,-2.6216545,-8.170638,0.7566067,-3.6574392,-2.488661,-0.21999232,-4.070038,-0.564785,-2.5415385,0.783048,-4.9736524,-4.1965413,-1.0892854,-0.79517233,-2.2672186,-0.24493702,-3.2948074,-3.1285095,-0.38430274,-2.7414958,-0.4558002,-1.754531,0.22220449,0.039622985,0.08892064,0.9940117,1
-444.85342,43.60934,-2.1497755,5.2390885,-18.608015,6.33277,-8.016005,-14.005799,-7.7835827,-11.385394,-1.20939,0.46687508,-4.445818,1.8792709,2.9708111,-5.2630954,-0.73603314,-4.4524937,-3.1368816,-4.3297944,-5.7393184,-1.0244159,-4.8280044,-1.9456645,-2.5680082,-1.8847884,-1.5536733,-0.9718292,-1.1236174,-3.0968769,-0.612752,-0.7509621,-0.34723505,-2.8107948,-0.6375702,1.534948,0.34579337,0.7245217,-0.042691927,-0.3172467,1
