f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,covid
-359.81448,51.762627,-17.358442,9.5213585,-14.556684,1.451432,-15.655211,-12.580076,-6.683061,2.901623,-3.549027,-5.5002093,-6.4897566,6.1115355,-4.7547016,-1.5193032,-0.22629492,-4.634856,-4.9227343,-1.470856,-2.351599,-0.8224565,-1.004353,3.2422507,5.8006506,1.0245355,0.5279884,2.8955355,-2.4240294,-2.5352268,0.37895888,-1.4081806,-2.2106705,-1.1642301,0.16674687,0.5272018,0.6977367,0.6388218,2.4981778,0.3416198,0
-567.51184,39.91863,-26.363354,13.890536,-1.9140161,0.8346635,-3.2566307,-4.7902827,-4.849668,3.813087,0.50039077,-7.0158634,-0.4528372,-6.45952,-4.4326425,-1.8044963,-4.56732,-3.984889,-1.5653076,-5.8735642,-2.70506,-1.3913335,-3.5872521,1.3362472,-3.1303506,-2.1312335,0.14207202,-0.9939173,-2.32236,-2.3343935,-0.7297798,-0.69419634,-0.83228624,-2.3486018,-0.46751714,-0.8057472,-0.30923128,0.11055685,-0.7207878,-0.60647255,0
-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-377.17847,59.313473,-0.91637385,7.6245513,3.828396,7.7855854,-12.29845,-5.6696877,-15.280323,4.8305182,-4.8189836,-5.9658866,-3.2060335,-1.1873549,-7.7167172,-2.0643966,-1.9388062,-8.955454,-4.465332,-7.2448955,-4.3290315,-3.0491817,-3.029401,-7.230052,-2.1426692,-1.0487634,-3.9214282,1.8682147,-3.8184848,-1.4874145,0.2844002,-0.7366618,-1.1423585,-1.3945746,-0.611723,-1.7684319,-1.5287993,-0.9304156,-1.9114994,-0.7534404,0
-522.56647,30.46562,-2.5708387,3.636454,-5.8014526,12.377494,-9.066545,-1.5767025,-7.860241,-4.0848894,0.74101424,-1.312645,-0.12794627,-3.3646436,1.1216574,-3.7438955,-1.0514563,-2.4440787,-2.7612376,-3.3423886,-2.5695798,-1.5050204,-2.2549324,-1.7530671,-1.864991,-1.8802638,-1.8110427,-0.7658302,-3.370899,-0.9909103,-1.877955,-1.1451477,-0.69828576,-1.4915088,-0.7223741,-1.1368352,-0.2616661,-1.2282901,-0.05507149,-1.318658,0
-488.13617,30.7228,-18.459362,-1.6991959,-5.2144904,6.089636,-2.47977,-0.58134276,-6.9521856,-3.5138774,-2.6735873,-1.9314418,1.5255373,-3.5705512,-2.2478626,-1.8622832,-1.750714,-2.7949936,-0.8452623,-2.2871656,-0.9391311,2.693019,0.49712816,-0.9007071,-1.5793406,-1.6828668,-3.6167247,-0.67338705,-2.8112864,-1.2161756,0.13435327,-1.8144711,0.023839302,-0.25603172,-0.66877425,-0.65471846,-0.32410863,-1.2086022,-0.122543454,-0.7257145,0
-317.09314,65.22396,-16.145275,27.45372,4.216932,1.4666418,-22.395401,-23.152822,-4.5483394,2.7931416,-13.03394,-2.8862517,-6.2198405,-7.197984,-12.20474,-7.1454215,-11.082032,-2.355654,-0.6024777,2.7784274,-5.3124413,2.0116122,-4.686889,-2.8017752,-3.821448,-2.9972904,-5.9330354,-3.275342,-8.072209,-6.6491523,-7.4529037,-5.122618,-3.8143768,-3.2982912,-4.301024,-2.0092247,-4.2415795,-3.4807765,-2.0526962,-1.315297,0
-686.55194,13.321139,-13.9101095,11.15614,-9.08613,7.1458983,-7.541804,-1.1865156,1.1700611,-6.6829824,1.565146,-2.5213397,-2.1166759,-2.9864683,-1.7869861,-2.9867089,-1.6881104,-0.40517753,-3.1146622,-1.045534,0.13207862,-2.53336,-1.9229419,0.10416094,-2.1474972,-1.1009904,-0.03844452,-0.7480199,-1.4716749,-0.7229382,-0.6421316,-1.1973195,-0.968665,-1.0452863,0.2881617,-1.2034397,-1.0514464,0.42427877,-0.443412,-0.54999655,0
-448.07953,39.076286,9.123361,8.785013,-2.3760889,9.594996,-2.0907028,-0.23965989,-7.011016,2.1558921,-1.1721798,4.053731,-3.9300792,-1.547654,-3.5772943,1.5733175,-2.7213676,-1.9631085,-2.6839435,-0.57642055,-4.75269,-1.5314744,-2.439337,-0.16485417,-3.2451377,0.26543722,0.43584815,-0.8498349,-0.77737236,0.22644746,-0.22169432,-1.1599302,-0.4070975,-0.68784505,-1.2850505,-1.323051,-0.7853029,-0.34391317,-1.9745857,-2.250984,0
-391.44263,72.581314,-14.977015,-3.5082762,-31.63734,4.704632,-10.170054,-1.7654442,-10.073267,-7.3011394,-4.563558,-10.2417755,9.870415,-7.925889,-6.2523365,-6.104004,-8.814536,-4.7310414,-8.369942,-2.256246,-4.536457,-5.0264144,-2.378701,-3.2923875,-0.52864313,-0.5172818,-3.347145,-2.884019,0.035876244,-1.0953544,-6.1994367,-3.879207,-3.0769818,-2.3774302,-2.5077338,-1.435692,-0.6662762,-7.084745,-0.66816014,0.90121305,0
